current_workflow,product_list
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Treat Section 87 as a first-class workflow, not an exception path"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Treat Section 87 as a first-class workflow, not an exception path"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + CRM notes + PDF exports,"Treat Section 87 as a first-class workflow, not an exception path"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,"Invest in permissions, logging, and governance controls"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Invest in permissions, logging, and governance controls"
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Treat Section 87 as a first-class workflow, not an exception path"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Strengthen versioning, assumptions tracking, and appendix logic"
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Strengthen versioning, assumptions tracking, and appendix logic"
Checklist + legacy planning tool + screenshots,"Invest in permissions, logging, and governance controls"
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Invest in permissions, logging, and governance controls"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Invest in permissions, logging, and governance controls"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + CRM notes + PDF exports,"Invest in permissions, logging, and governance controls"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Strengthen versioning, assumptions tracking, and appendix logic"
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Strengthen versioning, assumptions tracking, and appendix logic"
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Treat Section 87 as a first-class workflow, not an exception path"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Invest in permissions, logging, and governance controls"
Checklist + legacy planning tool + screenshots,"Treat Section 87 as a first-class workflow, not an exception path"
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Treat Section 87 as a first-class workflow, not an exception path"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Treat Section 87 as a first-class workflow, not an exception path"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + CRM notes + PDF exports,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + CRM notes + PDF exports,"Invest in permissions, logging, and governance controls"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Strengthen versioning, assumptions tracking, and appendix logic"
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,"Strengthen versioning, assumptions tracking, and appendix logic"
Spreadsheet + CRM notes + PDF exports,"Invest in permissions, logging, and governance controls"
Spreadsheet + CRM notes + PDF exports,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + CRM notes + PDF exports,"Treat Section 87 as a first-class workflow, not an exception path"
Checklist + legacy planning tool + screenshots,Prioritize fast-path intake and answer-screen workflow
Checklist + legacy planning tool + screenshots,"Invest in permissions, logging, and governance controls"
Checklist + legacy planning tool + screenshots,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
Spreadsheet + checklist + meeting notes,"Invest in permissions, logging, and governance controls"
Spreadsheet + checklist + meeting notes,"Improve export fidelity for client, compliance, and leadership audiences"
Spreadsheet + checklist + meeting notes,Prioritize fast-path intake and answer-screen workflow
